player1,year,round,winner,player2,winner1,winner2,error1,error2,total1,total2
Rafael Nadal,2004,Second,Rafael Nadal,Thierry Ascione,29,40,40,73,136,116
Rafael Nadal,2004,First,Rafael Nadal,Michal Tabara,21,10,25,34,82,50
Rafael Nadal,2005,Third,Rafael Nadal,Bobby Reynolds,23,15,18,46,86,52
Rafael Nadal,2005,Second,Rafael Nadal,Mikhail Youzhny,29,55,33,57,153,140
Rafael Nadal,2005,First,Rafael Nadal,Julien Benneteau,27,8,16,34,82,45
Rafael Nadal,2007,Fourth,Rafael Nadal,Andy Murray,53,64,32,67,166,149
Rafael Nadal,2007,Third,Rafael Nadal,Stanislas Wawrinka,21,25,19,32,99,62
Rafael Nadal,2007,Second,Rafael Nadal,Philipp Kohlschreiber,37,48,29,58,136,117
Rafael Nadal,2007,First,Rafael Nadal,Robert Kendrick,29,32,14,43,104,81
Rafael Nadal,2008,quarter,Rafael Nadal,Jarkko Nieminen,36,25,23,28,102,81
Rafael Nadal,2008,Fourth,Rafael Nadal,Paul-Henri Mathieu,14,12,9,15,43,23
Rafael Nadal,2008,Third,Rafael Nadal,Gilles Simon,27,38,22,48,109,86
Rafael Nadal,2008,Second,Rafael Nadal,Florent Serra,39,16,16,26,83,47
Rafael Nadal,2008,First,Rafael Nadal,Viktor Troicki,24,40,16,41,107,85
Rafael Nadal,2009,Final,Rafael Nadal,Roger Federer,50,71,41,64,173,174
Rafael Nadal,2009,semi,Rafael Nadal,Fernando Verdasco,52,95,25,76,193,192
Rafael Nadal,2009,quarter,Rafael Nadal,Gilles Simon,29,42,24,41,105,83
Rafael Nadal,2009,Fourth,Rafael Nadal,Fernando Gonzalez,33,22,11,35,96,66
Rafael Nadal,2009,Third,Rafael Nadal,Tommy Haas,53,25,8,25,98,62
Rafael Nadal,2009,Second,Rafael Nadal,Roko Karanusic,24,15,17,14,83,58
Rafael Nadal,2009,First,Rafael Nadal,Christophe Rochus,47,7,18,22,83,40
Rafael Nadal,2010,Fourth,Rafael Nadal,Ivo Karlovic,35,55,15,42,107,101
Rafael Nadal,2010,Third,Rafael Nadal,Philipp Kohlschreiber,36,41,38,58,137,129
Rafael Nadal,2010,Second,Rafael Nadal,Lukas Lacko,15,13,30,58,89,55
Rafael Nadal,2010,First,Rafael Nadal,Peter Luczak,35,29,16,38,113,82
Rafael Nadal,2011,Fourth,Rafael Nadal,Marin Cilic,26,32,21,48,103,82
Rafael Nadal,2011,Third,Rafael Nadal,Bernard Tomic,32,39,32,49,108,92
Rafael Nadal,2011,Second,Rafael Nadal,Ryan Sweeting,36,14,25,28,90,52
Rafael Nadal,2011,First,Rafael Nadal,Marcos Daniel,25,0,10,18,49,12
Rafael Nadal,2012,semi,Rafael Nadal,Roger Federer,36,46,34,63,146,130
Rafael Nadal,2012,quarter,Rafael Nadal,Tomas Berdych,57,66,30,56,157,147
Rafael Nadal,2012,Fourth,Rafael Nadal,Feliciano Lopez,20,26,14,52,105,75
Rafael Nadal,2012,Third,Rafael Nadal,Lukas Lacko,27,17,19,30,89,57
Rafael Nadal,2012,Second,Rafael Nadal,Tommy Haas,36,30,17,38,96,78
Rafael Nadal,2012,First,Rafael Nadal,Alex Kuznetsov,42,16,14,26,88,49
Rafael Nadal,2014,semi,Rafael Nadal,Roger Federer,28,34,25,50,105,86
Rafael Nadal,2014,quarter,Rafael Nadal,Grigor Dimitrov,42,54,47,61,147,132
Rafael Nadal,2014,Fourth,Rafael Nadal,Kei Nishikori,36,36,28,51,129,110
Rafael Nadal,2014,Third,Rafael Nadal,Gael Monfils,21,33,18,57,107,70
Rafael Nadal,2014,Second,Rafael Nadal,Thanasi Kokkinakis,39,21,19,24,91,61
Rafael Nadal,2014,First,Rafael Nadal,Bernard Tomic,13,13,5,7,30,24
Roger Federer,2004,Final,Roger Federer,Marat Safin,40,19,28,41,113,93
Roger Federer,2004,semi,Roger Federer,Juan Carlos Ferrero,34,21,22,19,88,66
Roger Federer,2004,quarter,Roger Federer,David Nalbandian,50,26,55,30,125,119
Roger Federer,2004,Fourth,Roger Federer,Lleyton Hewitt,53,17,41,29,123,107
Roger Federer,2004,Third,Roger Federer,Todd Reid,31,6,29,31,83,45
Roger Federer,2004,Second,Roger Federer,Jeff Morrison,32,31,15,14,100,77
Roger Federer,2004,First,Roger Federer,Alex Jr. Bogomolov,42,9,25,22,90,59
Roger Federer,2005,quarter,Roger Federer,Andre Agassi,46,13,31,20,99,79
Roger Federer,2005,Fourth,Roger Federer,Marcos Baghdatis,36,25,23,25,101,73
Roger Federer,2005,Third,Roger Federer,Jarkko Nieminen,19,14,19,15,62,43
Roger Federer,2005,Second,Roger Federer,Takao Suzuki,50,29,10,11,107,82
Roger Federer,2005,First,Roger Federer,Fabrice Santoro,54,9,23,20,100,66
Roger Federer,2006,Final,Roger Federer,Marcos Baghdatis,50,34,48,48,142,116
Roger Federer,2006,semi,Roger Federer,Nicolas Kiefer,39,33,33,53,129,99
Roger Federer,2006,quarter,Roger Federer,Nikolay Davydenko,46,30,52,48,144,139
Roger Federer,2006,Fourth,Roger Federer,Tommy Haas,66,31,58,36,143,127
Roger Federer,2006,Third,Roger Federer,Max Mirnyi,48,22,10,25,104,74
Roger Federer,2006,Second,Roger Federer,Florian Mayer,38,20,18,21,87,56
Roger Federer,2006,First,Roger Federer,Denis Istomin,20,15,19,39,91,59
Roger Federer,2007,Final,Roger Federer,Fernando Gonzalez,45,31,19,28,120,93
Roger Federer,2007,semi,Roger Federer,Andy Roddick,45,11,12,18,83,45
Roger Federer,2007,quarter,Roger Federer,Tommy Robredo,42,17,31,28,119,94
Roger Federer,2007,Fourth,Roger Federer,Novak Djokovic,51,17,26,33,105,76
Roger Federer,2007,Third,Roger Federer,Mikhail Youzhny,40,25,33,27,109,92
Roger Federer,2007,Second,Roger Federer,Jonas Bjorkman,38,19,19,27,93,59
Roger Federer,2007,First,Roger Federer,Bjorn Phau,29,16,29,32,111,75
Roger Federer,2008,quarter,Roger Federer,James Blake,46,38,24,33,115,97
Roger Federer,2008,Fourth,Roger Federer,Tomas Berdych,45,32,17,27,105,85
Roger Federer,2008,Third,Roger Federer,Janko Tipsarevic,96,52,64,47,202,173
Roger Federer,2008,Second,Roger Federer,Fabrice Santoro,53,11,18,4,87,43
Roger Federer,2008,First,Roger Federer,Diego Hartfield,38,11,14,20,85,42
Roger Federer,2009,semi,Roger Federer,Andy Roddick,51,38,15,18,105,85
Roger Federer,2009,quarter,Roger Federer,Juan Martin Del Potro,38,8,9,24,83,36
Roger Federer,2009,Fourth,Roger Federer,Tomas Berdych,61,58,40,42,159,151
Roger Federer,2009,Third,Roger Federer,Marat Safin,26,33,28,33,103,76
Roger Federer,2009,Second,Roger Federer,Evgeny Korolev,25,26,15,44,89,59
Roger Federer,2009,First,Roger Federer,Andreas Seppi,45,28,43,45,122,102
Roger Federer,2010,Final,Roger Federer,Andy Murray,46,29,42,36,116,100
Roger Federer,2010,semi,Roger Federer,Jo-Wilfried Tsonga,33,21,13,27,85,54
Roger Federer,2010,quarter,Roger Federer,Nikolay Davydenko,35,35,43,50,125,104
Roger Federer,2010,Fourth,Roger Federer,Lleyton Hewitt,49,18,27,18,102,77
Roger Federer,2010,Third,Roger Federer,Albert Montanes,36,18,39,33,96,74
Roger Federer,2010,Second,Roger Federer,Victor Hanescu,52,20,18,26,96,64
Roger Federer,2010,First,Roger Federer,Igor Andreev,29,26,38,55,135,103
Roger Federer,2011,quarter,Roger Federer,Stanislas Wawrinka,29,21,24,30,90,66
